filename,shadow_azimuth,skipped
2018_SJER_3_252000_4104000_image_628_tile_test_sf1p0_0_0.tif.png,39.5,false
2018_SJER_3_252000_4106000_image_234_tile_test_sf1p0_0_0.tif.png,39.6,false
2018_SJER_3_252000_4106000_image_326_tile_test_sf1p0_0_0.tif.png,41.0,false
2018_SJER_3_252000_4106000_image_66_tile_test_sf1p0_0_0.tif.png,37.1,false
2018_SJER_3_252000_4107000_image_372_tile_test_sf1p0_0_0.tif.png,27.5,false
2018_SJER_3_252000_4107000_image_477_tile_test_sf1p0_0_0.tif.png,40.7,false
2018_SJER_3_252000_4108000_image_517_tile_test_sf1p0_0_0.tif.png,38.6,false
2018_SJER_3_252000_4112000_image_451_tile_test_sf1p0_0_0.tif.png,24.0,false
2018_SJER_3_252000_4113000_image_323_tile_test_sf1p0_0_0.tif.png,33.0,false
2018_SJER_3_253000_4104000_image_637_tile_test_sf1p0_0_0.tif.png,45.0,false
2018_SJER_3_253000_4105000_image_303_tile_test_sf1p0_0_0.tif.png,42.4,false
2018_SJER_3_253000_4105000_image_72_tile_test_sf1p0_0_0.tif.png,40.5,false
2018_SJER_3_253000_4107000_image_532_tile_test_sf1p0_0_0.tif.png,37.6,false
2018_SJER_3_253000_4107000_image_637_tile_test_sf1p0_0_0.tif.png,41.7,false
2018_SJER_3_253000_4109000_image_573_tile_test_sf1p0_0_0.tif.png,38.6,false
2018_SJER_3_253000_4112000_image_581_tile_test_sf1p0_0_0.tif.png,35.6,false
2018_SJER_3_254000_4104000_image_163_tile_test_sf1p0_0_0.tif.png,60.2,false
2018_SJER_3_254000_4105000_image_703_tile_test_sf1p0_0_0.tif.png,340.1,false
2018_SJER_3_254000_4107000_image_670_tile_test_sf1p0_0_0.tif.png,333.8,false
2018_SJER_3_254000_4108000_image_188_tile_test_sf1p0_0_0.tif.png,32.8,false
2018_SJER_3_254000_4108000_image_700_tile_test_sf1p0_0_0.tif.png,332.1,false
2018_SJER_3_254000_4109000_image_337_tile_test_sf1p0_0_0.tif.png,49.7,false
2018_SJER_3_254000_4112000_image_145_tile_test_sf1p0_0_0.tif.png,48.3,false
2018_SJER_3_255000_4105000_image_142_tile_test_sf1p0_0_0.tif.png,333.2,false
2018_SJER_3_255000_4107000_image_298_tile_test_sf1p0_0_0.tif.png,335.9,false
2018_SJER_3_255000_4107000_image_369_tile_test_sf1p0_0_0.tif.png,355.2,false
2018_SJER_3_255000_4108000_image_224_tile_test_sf1p0_0_0.tif.png,333.1,false
2018_SJER_3_255000_4108000_image_256_tile_test_sf1p0_0_0.tif.png,334.8,false
2018_SJER_3_255000_4108000_image_267_tile_test_sf1p0_0_0.tif.png,335.3,false
2018_SJER_3_255000_4108000_image_93_tile_test_sf1p0_0_0.tif.png,336.3,false
SJER_002_2018_tile_test_sf1p0_0_0.tif.png,330.3,false
SJER_003_2018_tile_test_sf1p0_0_0.tif.png,0.0,false
SJER_004_2018_tile_test_sf1p0_0_0.tif.png,350.7,false
SJER_005_2018_tile_test_sf1p0_0_0.tif.png,341.6,false
SJER_009_2018_tile_test_sf1p0_0_0.tif.png,337.6,false
SJER_010_2018_tile_test_sf1p0_0_0.tif.png,6.0,false
SJER_012_2018_tile_test_sf1p0_0_0.tif.png,4.4,false
SJER_015_2018_tile_test_sf1p0_0_0.tif.png,1.1,false
SJER_016_2018_tile_test_sf1p0_0_0.tif.png,9.3,false
SJER_021_2018_tile_test_sf1p0_0_0.tif.png,346.0,false
SJER_022_2018_tile_test_sf1p0_0_0.tif.png,359.1,false
SJER_025_2018_tile_test_sf1p0_0_0.tif.png,347.4,false
SJER_026_2018_tile_test_sf1p0_0_0.tif.png,353.3,false
SJER_045_2018_tile_test_sf1p0_0_0.tif.png,351.2,false
SJER_046_2018_tile_test_sf1p0_0_0.tif.png,350.6,false
SJER_048_2018_tile_test_sf1p0_0_0.tif.png,354.6,false
SJER_049_2018_tile_test_sf1p0_0_0.tif.png,351.4,false
SJER_050_2018_tile_test_sf1p0_0_0.tif.png,343.3,false
SJER_051_2018_tile_test_sf1p0_0_0.tif.png,342.1,false
SJER_052_2018_tile_test_sf1p0_0_0.tif.png,339.5,false
SJER_053_2018_tile_test_sf1p0_0_0.tif.png,342.0,false
SJER_054_2018_tile_test_sf1p0_0_0.tif.png,350.0,false
SJER_055_2018_tile_test_sf1p0_0_0.tif.png,351.1,false
SJER_056_2018_tile_test_sf1p0_0_0.tif.png,352.2,false
SJER_057_2018_tile_test_sf1p0_0_0.tif.png,346.3,false
SJER_058_2018_tile_test_sf1p0_0_0.tif.png,354.6,false
SJER_059_2018_tile_test_sf1p0_0_0.tif.png,353.0,false
SJER_060_2018_tile_test_sf1p0_0_0.tif.png,353.5,false
SJER_062_2018_tile_test_sf1p0_0_0.tif.png,350.5,false
SJER_063_2018_tile_test_sf1p0_0_0.tif.png,350.5,false
SJER_064_2018_tile_test_sf1p0_0_0.tif.png,356.8,false
