image_path,xmin,ymin,xmax,ymax,label,shadow_angle,shadow_x,shadow_y
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,55,56,109,101,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,51,104,97,146,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,55,1,92,52,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,4,12,35,48,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,173,1,207,35,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,324,0,358,46,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,271,0,302,25,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,359,0,399,29,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,111,49,171,104,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,160,74,234,128,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,119,120,157,169,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,0,127,36,170,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,0,72,20,116,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,0,170,43,226,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,175,150,216,209,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,240,127,274,173,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,418,32,450,70,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,366,76,407,125,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,377,32,414,73,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,302,73,369,140,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,392,103,437,159,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,344,187,372,230,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,277,167,339,220,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,206,194,250,246,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,104,262,158,313,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,145,227,181,281,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,45,274,72,307,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,0,258,33,316,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,0,208,54,255,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,357,400,394,444,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,266,457,335,499,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,187,438,249,487,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,251,352,309,401,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,313,279,351,323,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,63,467,113,499,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,129,421,170,462,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,182,410,211,448,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,217,404,249,445,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,322,420,365,462,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,371,247,423,288,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,407,359,445,420,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,277,231,315,273,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,214,282,257,330,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,166,355,209,406,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,125,407,159,438,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,107,386,144,418,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,63,346,120,399,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,3,333,50,382,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,50,443,91,484,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,10,412,63,465,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,11,374,46,408,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,454,70,487,112,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,461,132,499,185,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,415,303,467,344,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0.tif,237,251,289,299,Tree,215,-0.5735764363510462,-0.8191520442889918
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,56,391,101,445,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,104,403,146,449,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,1,408,52,445,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,12,465,48,496,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,1,293,35,327,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,0,142,46,176,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,0,198,25,229,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,0,101,29,141,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,49,329,104,389,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,74,266,128,340,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,120,343,169,381,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,127,464,170,500,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,72,480,116,500,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,170,457,226,500,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,150,284,209,325,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,127,226,173,260,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,32,50,70,82,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,76,93,125,134,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,32,86,73,123,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,73,131,140,198,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,103,63,159,108,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,187,128,230,156,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,167,161,220,223,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,194,250,246,294,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,262,342,313,396,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,227,319,281,355,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,274,428,307,455,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,258,467,316,500,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,208,446,255,500,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,400,106,444,143,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,457,165,499,234,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,438,251,487,313,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,352,191,401,249,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,279,149,323,187,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,467,387,499,437,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,421,330,462,371,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,410,289,448,318,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,404,251,445,283,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,420,135,462,178,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,247,77,288,129,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,359,55,420,93,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,231,185,273,223,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,282,243,330,286,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,355,291,406,334,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,407,341,438,375,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,386,356,418,393,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,346,380,399,437,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,333,450,382,497,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,443,409,484,450,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,412,437,465,490,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,374,454,408,489,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,70,13,112,46,Tree,125,0.8191520442889917,-0.5735764363510462
/Users/tompitts/dphil/CanopyAI/deepforest_custom/won/raw/won_tile_0_rot90.tif,132,1,185,39,Tree,125,0.8191520442889917,-0.5735764363510462
